:: | AlphaHorse (1)) align with leader

16:49:28 | Horse 2) looking for leader

16:49:28 | Horse 1) looking for leader

16:49:30 | Horse 1) align with leader

16:49:31 | Horse 2) align with leader

16:49:32 | Horse 1) looking for leader

16:49:33 | Horse 2) looking for leader

16:49:34 | Horse 1) align with leader

16:49:35 | Horse 1) looking for leader

16:49:35 | Horse 2) align with leader

16:49:35 | Horse 2) looking for leader

16:49:36 | Horse 1) align with leader

16:49:36 | Horse 2) align with leader

16:49:37 | Horse 2) looking for leader

16:49:38 | Horse 2) align with leader

16:49:38 | Horse 1) looking for leader

16:49:39 | Horse 2) arrive

16:49:39 | Horse 2) align with leader

16:49:40 | Horse 1) align with leader

16:49:43 | Horse 1) looking for leader

16:49:44 | Horse 1) align with leader

16:49:47 | Horse 1) looking for leader

16:49:49 | Horse 1) align with leader

16:49:51 | Horse 1) looking for leader

16:49:53 | Horse 1) align with leader

16:49:55 | Horse 1) looking for leader

16:49:57 | Horse 1) align with leader

16:49:59 | Horse 1) looking for leader

16:50:1 | Horse 1) align with leader

16:50:3 | Horse 1) looking for leader

16:50:5 | Horse 1) align with leader

16:50:7 | Horse 1) looking for leader

16:50:9 | Horse 1) align with leader

16:50:11 | Horse 1) looking for leader

16:50:13 | Horse 1) align with leader

16:50:15 | Horse 1) looking for leader

16:50:17 | Horse 1) align with leader

16:50:19 | Horse 1) looking for leader

16:50:21 | Horse 1) align with leader

16:50:23 | Horse 1) looking for leader

16:50:25 | Horse 1) align with leader

16:50:27 | Horse 1) looking for leader

16:50:29 | Horse 1) align with leader

16:50:32 | Horse 1) looking for leader

16:50:33 | Horse 1) align with leader

16:50:36 | Horse 1) looking for leader

16:50:38 | Horse 1) align with leader

16:50:40 | Horse 1) looking for leader

16:50:42 | Horse 1) align with leader

16:50:44 | Horse 1) looking for leader

16:50:46 | Horse 1) align with leader

16:50:48 | Horse 1) looking for leader

16:50:50 | Horse 1) align with leader

16:50:52 | Horse 1) looking for leader

16:50:54 | Horse 1) align with leader

16:50:56 | Horse 1) looking for leader

16:50:58 | Horse 1) align with leader

16:51:0 | Horse 1) looking for leader

16:51:2 | Horse 1) align with leader

16:51:4 | Horse 1) looking for leader

16:51:6 | Horse 1) align with leader

16:51:8 | Horse 1) looking for leader

16:51:10 | Horse 1) align with leader

16:51:12 | Horse 1) looking for leader

16:51:14 | Horse 1) align with leader

16:51:17 | Horse 1) looking for leader

16:51:18 | Horse 1) align with leader

16:51:21 | Horse 1) looking for leader

16:51:22 | Horse 1) align with leader

16:51:25 | Horse 1) looking for leader

16:51:27 | Horse 1) align with leader

16:51:29 | Horse 1) looking for leader

16:51:31 | Horse 1) align with leader

16:51:33 | Horse 1) looking for leader

16:51:35 | Horse 1) align with leader

16:51:37 | Horse 1) looking for leader

16:51:39 | Horse 1) align with leader

16:51:41 | Horse 1) looking for leader

16:51:43 | Horse 1) align with leader

16:51:45 | Horse 1) looking for leader

16:51:47 | Horse 1) align with leader

16:51:49 | Horse 1) looking for leader

16:51:51 | Horse 1) align with leader

16:51:53 | Horse 1) looking for leader

16:51:55 | Horse 1) align with leader

16:51:57 | Horse 1) looking for leader

16:51:59 | Horse 1) align with leader

16:52:2 | Horse 1) looking for leader

16:52:3 | Horse 1) align with leader

16:52:6 | Horse 1) looking for leader

16:52:8 | Horse 1) align with leader

16:52:10 | Horse 1) looking for leader

16:52:12 | Horse 1) align with leader

16:52:14 | Horse 1) looking for leader

16:52:16 | Horse 1) align with leader

16:52:18 | Horse 1) looking for leader

16:52:20 | Horse 1) align with leader

16:52:22 | Horse 1) looking for leader

16:52:24 | Horse 1) align with leader

16:52:26 | Horse 1) looking for leader

16:52:28 | Horse 1) align with leader

16:52:30 | Horse 1) looking for leader

16:52:32 | Horse 1) align with leader

16:52:34 | Horse 1) looking for leader

16:52:36 | Horse 1) align with leader

16:52:38 | Horse 1) looking for leader

16:52:40 | Horse 1) align with leader

16:52:43 | Horse 1) looking for leader

16:52:44 | Horse 1) align with leader

16:52:47 | Horse 1) looking for leader

16:52:48 | Horse 1) align with leader

16:52:51 | Horse 1) looking for leader

16:52:53 | Horse 1) align with leader

16:52:55 | Horse 1) looking for leader

